Site,Code,Dataset,Country,State,County,AQSCode,Latitude,Longitude,Elevation,StartDate,EndDate,DemographicCode,LandUseCode,StreetAddress,LocDesc,Sponsor,ProgramKey,NumPOCs
Dome Lands Wilderness,DOME1,IMPAER,US,CA,06029,060299001,35.7278,-118.1377,927,02/02/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Douglas,DOUG1,IMPAER,US,AZ,04003,040039000,31.34921,-109.53973,1230,06/02/2004,10/30/2015,NA,NA,NA,NA,STATE,IMPROVE,1
Egbert,EGBE1,IMPAER,CA,ON,NA,NA,44.23115,-79.78322,251,09/01/2005,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
El Dorado Springs,ELDO1,IMPAER,US,MO,29039,290390001,37.7009,-94.0348,297,03/03/2002,12/29/2015,NA,Unknown,NA,NA,STATE,IMPROVE,1
Ellis,ELLI1,IMPAER,US,OK,40045,400450890,36.0853,-99.9354,697,03/03/2002,10/18/2015,NA,Unknown,NA,NA,STATE,IMPROVE,1
Everglades NP,EVER1,IMPAER,US,FL,12086,120860030,25.391,-80.6806,1,09/03/1988,02/27/2020,NA,Unknown,NA,Behind Everglades Research Center,NPS,IMPROVE,2
Flat Tops,FLTO1,IMPAER,US,CO,08103,NA,39.9153,-107.6345,2593,10/27/2011,02/27/2020,NA,Unknown,NA,NA,NA,IMPROVE,1
Flathead,FLAT1,IMPAER,US,MT,30047,300479000,47.7734,-114.269,1580,06/01/2002,02/27/2020,NA,Unknown,NA,NA,TRIBE,IMPROVE,1
Forest County Potawatomi Community,FCPC1,IMPAER,US,WI,55041,550410007,45.56495,-88.80838,564,11/17/2016,02/27/2020,NA,NA,NA,NA,Native American Tribal Government,IMPROVE,1
Fort Peck,FOPE1,IMPAER,US,MT,30085,300859000,48.308,-105.1022,638,06/01/2002,02/27/2020,NA,Unknown,NA,NA,TRIBE,IMPROVE,1
Fresno,FRES1,IMPAER,US,CA,06019,060190008,36.7818,-119.7732,100,09/03/2004,02/27/2020,NA,NA,3425 N First St.,NA,NA,IMPROVE,1
Frostburg Reservoir (Big Piney Run),FRRE1,IMPAER,US,MD,24023,240239000,39.7058,-79.0122,767,03/01/2004,02/27/2020,NA,NA,NA,NA,STATE,IMPROVE,2
Gates of the Arctic NP,GAAR1,IMPAER,US,AK,02261,NA,66.9025,-151.517,196,11/02/2008,10/30/2015,NA,Unknown,"Resource Management, P.O. Box 26030,Bettles, AK 99726",Bettles Radio Tower,NA,SFU,1
Gates of the Mountains,GAMO1,IMPAER,US,MT,30049,300499000,46.8262,-111.7107,2387,07/26/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,2
Gila Wilderness,GICL1,IMPAER,US,NM,35003,350039000,33.2204,-108.2351,1775,03/02/1994,02/27/2020,NA,Unknown,NA,Above Visitor Center,USFS,IMPROVE,1
